,Conf,MP_C,PTS_C,TRB_C,AST_C,FG%_C,3P%_C,Player Name,SOS,School,FT%_C,Pk,Tm,Yrs,DRAFT_YEAR,MP.1,PTS.1,TRB.1,AST.1,FG%,3P%,Player,FT%
763,Big East,25.3,12.9,6.2,1.2,0.6759999999999999,0.5329999999999999,Justin Patton,8.95,Creighton,0.517,16,CHI,1.0,2017,4.0,2.0,0.0,0.0,0.5,,Justin Patton,
764,Big Ten,30.4,11.0,5.3,1.3,0.5379999999999999,0.373,D.J. Wilson,10.17,Michigan,0.833,17,MIL,1.0,2017,3.2,1.0,0.5,0.1,0.563,0.4,D.J. Wilson,0.5
765,Pac-12,29.9,16.3,8.2,2.4,0.617,0.466,T.J. Leaf,6.39,UCLA,0.679,18,IND,2.0,2017,8.4,2.8,1.5,0.2,0.461,0.4,T.J. Leaf,0.625
766,ACC,26.6,19.2,9.8,0.5,0.622,0.0,John Collins,9.8,Wake Forest,0.745,19,ATL,2.0,2017,24.0,10.6,7.2,1.4,0.578,0.33299999999999996,John Collins,0.7190000000000001
767,ACC,11.5,3.9,3.8,0.3,0.5770000000000001,,Harry Giles,10.91,Duke,0.5,20,POR,1.0,2017,9.9,4.7,2.9,0.8,0.465,0.0,Harry Giles,0.41700000000000004
768,Big 12,32.2,13.4,8.4,0.8,0.5660000000000001,0.0,Jarrett Allen,12.75,Texas,0.564,22,BRK,2.0,2017,21.4,9.0,6.0,0.9,0.5870000000000001,0.24100000000000002,Jarrett Allen,0.745
769,Big Ten,25.1,11.1,5.4,1.4,0.557,0.311,OG Anunoby,8.15,Indiana,0.563,23,TOR,2.0,2017,20.4,6.5,2.5,0.7,0.47200000000000003,0.361,OG Anunoby,0.597
770,ACC,36.1,13.2,8.6,2.1,0.473,0.395,Tyler Lydon,8.46,Syracuse,0.836,24,UTA,2.0,2017,3.4,1.6,0.6,0.0,0.667,0.667,Tyler Lydon,0.5
771,Big Ten,32.5,18.5,12.5,3.1,0.527,0.447,Caleb Swanigan,8.79,Purdue,0.7809999999999999,26,POR,2.0,2017,7.8,2.3,2.5,0.5,0.366,0.16699999999999998,Caleb Swanigan,0.696
772,Pac-12,30.8,16.4,9.3,2.4,0.504,0.321,Kyle Kuzma,4.32,Utah,0.669,27,BRK,2.0,2017,31.0,16.1,6.0,1.7,0.45399999999999996,0.354,Kyle Kuzma,0.711
773,ACC,14.6,7.1,5.1,0.6,0.573,,Tony Bradley,11.76,UNC,0.619,28,LAL,1.0,2017,3.2,0.9,1.2,0.1,0.273,0.0,Tony Bradley,1.0
774,Pac-12,32.8,18.1,4.1,4.4,0.507,0.396,Derrick White,6.0,Colorado,0.813,29,SAS,2.0,2017,11.5,3.8,1.7,1.4,0.39299999999999996,0.40700000000000003,Derrick White,0.735
775,Big East,33.1,18.7,6.4,2.9,0.51,0.40399999999999997,Josh Hart,9.28,Villanova,0.747,30,UTA,2.0,2017,23.7,8.4,4.1,1.2,0.46299999999999997,0.4,Josh Hart,0.7020000000000001
